epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,240.921,0.55015,0.60404,0.78385,1,0.99887,0.995,0.8571,0.54525,0.42706,0.78529,0.00132225,0.00044075,0.00132225,0.00044075,0.00132225,0.00044075,0.00132225,0.00044075
65,244.423,0.52522,0.56862,0.7872,1,0.99887,0.995,0.86222,0.5402,0.42322,0.78458,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
66,248.162,0.53623,0.56577,0.77854,1,0.99859,0.995,0.85617,0.54757,0.42827,0.78357,0.00117375,0.00039125,0.00117375,0.00039125,0.00117375,0.00039125,0.00117375,0.00039125
67,251.85,0.52918,0.55338,0.78454,1,0.99852,0.995,0.8595,0.54257,0.43145,0.78371,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665
68,255.603,0.50536,0.53926,0.78755,1,0.99855,0.995,0.86184,0.53414,0.41368,0.78247,0.00102525,0.00034175,0.00102525,0.00034175,0.00102525,0.00034175,0.00102525,0.00034175
69,259.148,0.48852,0.5366,0.76307,1,0.99845,0.995,0.85459,0.53748,0.42531,0.7821,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
70,262.865,0.51343,0.53312,0.77434,1,0.9987,0.995,0.85096,0.5583,0.42304,0.78263,0.00087675,0.00029225,0.00087675,0.00029225,0.00087675,0.00029225,0.00087675,0.00029225
71,288.748,0.50951,0.65651,0.78583,1,0.99897,0.995,0.84716,0.55047,0.42856,0.78052,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675
72,292.607,0.49101,0.62646,0.76498,1,0.99894,0.995,0.84562,0.55397,0.42726,0.78166,0.00072825,0.00024275,0.00072825,0.00024275,0.00072825,0.00024275,0.00072825,0.00024275
73,296.259,0.51135,0.67237,0.76735,1,0.99884,0.995,0.84703,0.55909,0.4274,0.78233,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
74,300.038,0.50756,0.64172,0.7863,1,0.99873,0.995,0.85078,0.54218,0.43038,0.78127,0.00057975,0.00019325,0.00057975,0.00019325,0.00057975,0.00019325,0.00057975,0.00019325
75,303.846,0.49254,0.64273,0.76601,0.99974,0.98913,0.99489,0.85566,0.54663,0.42685,0.78137,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685
76,307.664,0.48507,0.6176,0.777,0.99978,0.98913,0.99479,0.85487,0.54702,0.41868,0.7816,0.00043125,0.00014375,0.00043125,0.00014375,0.00043125,0.00014375,0.00043125,0.00014375
77,311.334,0.46303,0.59532,0.79855,0.99979,0.98913,0.99489,0.85173,0.53824,0.42326,0.78154,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
78,315.178,0.46964,0.61714,0.77477,0.99984,0.98913,0.99458,0.84983,0.54934,0.42358,0.7818,0.00028275,9.425e-05,0.00028275,9.425e-05,0.00028275,9.425e-05,0.00028275,9.425e-05
79,318.997,0.48239,0.60685,0.78986,0.99992,0.98913,0.99468,0.84522,0.54613,0.42484,0.78163,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05
80,322.836,0.48849,0.64527,0.78709,0.99991,0.98913,0.99458,0.84858,0.53815,0.41974,0.78177,0.00013425,4.475e-05,0.00013425,4.475e-05,0.00013425,4.475e-05,0.00013425,4.475e-05
