epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,88.0035,1.27835,1.19187,0.7932,0.96513,0.88235,0.9113,0.45274,2.5242,2.51822,0.97308,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
42,89.9998,1.22125,1.1558,0.80088,0.99703,0.88235,0.90023,0.41078,2.67831,2.4827,0.99159,0.00295575,0.00098525,0.00295575,0.00098525,0.00295575,0.00098525,0.00295575,0.00098525
43,92.0295,1.29752,1.15927,0.80336,1,0.89926,0.9155,0.45398,2.61681,2.46283,0.98568,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605
44,94.056,1.261,1.08386,0.79225,1,0.87715,0.90186,0.4316,2.67767,2.34881,0.98954,0.00280725,0.00093575,0.00280725,0.00093575,0.00280725,0.00093575,0.00280725,0.00093575
45,96.0629,1.23402,1.0856,0.79659,1,0.90834,0.92355,0.45944,2.62555,2.23838,0.99131,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
46,98.0463,1.14005,1.1152,0.78637,1,0.91089,0.92393,0.40694,2.77291,2.24975,1.00878,0.00265875,0.00088625,0.00265875,0.00088625,0.00265875,0.00088625,0.00265875,0.00088625
47,100.008,1.22534,1.09069,0.8108,0.96746,0.88235,0.89293,0.41885,2.74254,2.22842,1.00342,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615
48,102.004,1.17884,1.08749,0.79525,0.99935,0.91176,0.92288,0.40301,2.78385,2.18067,1.01415,0.00251025,0.00083675,0.00251025,0.00083675,0.00251025,0.00083675,0.00251025,0.00083675
49,104.031,1.22897,1.02982,0.79293,0.96675,0.88235,0.89295,0.35802,2.91091,2.15602,1.02167,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
50,106.048,1.21701,1.0833,0.80432,0.99263,0.91176,0.92587,0.40928,2.74931,2.06151,1.00951,0.00236175,0.00078725,0.00236175,0.00078725,0.00236175,0.00078725,0.00236175,0.00078725
51,108.056,1.27448,1.05471,0.80918,1,0.88089,0.89224,0.38352,2.85225,2.22495,1.0162,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625,0.0022875,0.0007625
52,110.018,1.19274,1.0073,0.80609,0.99514,0.88235,0.91267,0.39138,2.82933,2.3339,1.02131,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775,0.00221325,0.00073775
53,112.016,1.17831,0.98792,0.80685,0.9913,0.88235,0.90009,0.38898,2.85287,2.39483,1.01844,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
54,113.995,1.20995,0.96078,0.80742,0.98759,0.88235,0.90918,0.42887,2.77552,2.43775,1.00998,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825,0.00206475,0.00068825
55,116,1.17138,0.99435,0.79359,0.96736,0.88235,0.90748,0.46489,2.68589,2.47699,0.99709,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635,0.0019905,0.0006635
56,117.981,1.20777,1.02355,0.79494,0.96021,0.88235,0.90553,0.44184,2.69074,2.49153,0.99053,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875,0.00191625,0.00063875
57,119.951,1.21681,0.99116,0.80464,0.95896,0.88235,0.90651,0.44249,2.61443,2.44027,0.98396,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
58,121.911,1.133,0.95311,0.80077,0.9766,0.85294,0.90884,0.47257,2.55391,2.39438,0.97463,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925,0.00176775,0.00058925
59,123.884,1.14388,1.00887,0.79253,0.98842,0.88235,0.91061,0.46515,2.57591,2.3368,0.97667,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645,0.0016935,0.0005645
60,125.933,1.27763,1.0709,0.81654,0.98863,0.88235,0.91205,0.44616,2.5877,2.33219,0.97613,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975,0.00161925,0.00053975
61,127.951,1.15815,0.96816,0.79766,1,0.87829,0.91366,0.42215,2.64688,2.33201,0.98279,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
62,130.001,1.11239,0.95952,0.81101,0.96804,0.891,0.9144,0.46152,2.58847,2.31896,0.97984,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025,0.00147075,0.00049025
63,132.045,1.12553,0.91514,0.78571,0.95821,0.91176,0.91347,0.44057,2.65534,2.32651,0.99232,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655,0.0013965,0.0004655
64,134.11,1.15692,0.96024,0.80069,0.96856,0.90636,0.91346,0.41731,2.74257,2.33501,1.00255,0.00132225,0.00044075,0.00132225,0.00044075,0.00132225,0.00044075,0.00132225,0.00044075
65,136.136,1.11565,0.95308,0.77455,0.96145,0.91176,0.91346,0.45638,2.70802,2.27887,1.00267,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
66,138.135,1.13102,0.90209,0.80194,0.96307,0.91176,0.91346,0.41867,2.77627,2.2803,1.01343,0.00117375,0.00039125,0.00117375,0.00039125,0.00117375,0.00039125,0.00117375,0.00039125
67,140.13,1.12951,0.92411,0.80335,0.96044,0.91176,0.9136,0.43377,2.77673,2.21018,1.00933,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665,0.0010995,0.0003665
68,142.121,1.14928,0.95324,0.77904,0.96787,0.91176,0.91469,0.4586,2.68792,2.19723,0.99659,0.00102525,0.00034175,0.00102525,0.00034175,0.00102525,0.00034175,0.00102525,0.00034175
69,144.111,1.12656,0.91189,0.79988,1,0.90344,0.91562,0.44882,2.68007,2.20364,0.99015,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
70,146.114,1.1391,0.93827,0.79852,0.99478,0.91176,0.92792,0.45942,2.62437,2.20429,0.98836,0.00087675,0.00029225,0.00087675,0.00029225,0.00087675,0.00029225,0.00087675,0.00029225
71,164.443,1.15433,1.12487,0.8035,0.99741,0.88235,0.94347,0.48534,2.58693,1.99634,0.98448,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675,0.0008025,0.0002675
72,166.445,1.11302,1.13554,0.81062,0.9073,0.91176,0.94616,0.46353,2.55355,1.7194,0.98033,0.00072825,0.00024275,0.00072825,0.00024275,0.00072825,0.00024275,0.00072825,0.00024275
73,168.461,1.11681,1.08189,0.79798,0.93042,0.88235,0.92809,0.4332,2.59746,1.58408,0.98146,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
74,170.435,1.07739,1.04217,0.79125,0.92683,0.88235,0.92213,0.40696,2.67992,1.51116,0.99096,0.00057975,0.00019325,0.00057975,0.00019325,0.00057975,0.00019325,0.00057975,0.00019325
75,172.413,1.11208,1.05688,0.81368,0.92646,0.88235,0.92078,0.40409,2.68817,1.49281,0.99063,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685,0.0005055,0.0001685
76,174.377,1.06672,1.00842,0.81267,0.92844,0.88235,0.91947,0.41917,2.65109,1.5122,0.98656,0.00043125,0.00014375,0.00043125,0.00014375,0.00043125,0.00014375,0.00043125,0.00014375
77,176.338,1.07449,1.02646,0.81343,0.92907,0.88235,0.92152,0.44465,2.58732,1.48997,0.97949,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
78,178.314,1.06112,1.01777,0.80146,0.92957,0.88235,0.9227,0.43714,2.63889,1.49606,0.98473,0.00028275,9.425e-05,0.00028275,9.425e-05,0.00028275,9.425e-05,0.00028275,9.425e-05
79,180.289,1.02332,0.98766,0.79617,0.9309,0.88235,0.93249,0.43736,2.67462,1.52951,0.99089,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05,0.0002085,6.95e-05
80,182.274,1.0918,1.02299,0.80428,0.9326,0.88235,0.9291,0.41838,2.70105,1.54432,0.99559,0.00013425,4.475e-05,0.00013425,4.475e-05,0.00013425,4.475e-05,0.00013425,4.475e-05
